ID,Nombre común,Nombre científico,¿Es nativa de Colombia? (Sí/No),Observaciones sobre origen,Altitud (a.s.n.m),Usos principales,Unnamed: 7,Unnamed: 8
1,Abarco,Cariniana pyriformis,,,0-1.000,PO-M-SA,,NATIVO
2,Acacia Amarilla,Cassia siamea,,,0-1.600,O-I-L-F-RA,,INTRODUCIDA
3,Acacia Japonesa,Acacia melanoxylon,,,1.800-2.800,I-PO-TA-L-PU-F-O,,INTRODUCIDA
4,Acacia Mangium,Acacia mangium,,,0-1.000,M-I-PU-CV-L-ME-A-F,,INTRODUCIDA
5,Acacia Negra,Acacia mearnsii,,,1.800-3.000,RA-F-T-L-PO-PU-CA,,INTRODUCIDA
6,Acacia Roja,Delonix regia,,,170-1.200,O-L-SA-S-RA-CV,,INTRODUCIDA
7,"Achiote, Onoto",Bixa orellana,,,0-1.400,CO-O-F-I,,NATIVO
8,Aliso,Alnus acuminata,,,1.700-3.500,M-RA-TA-CH-PU-CV,,NATIVO
9,Almendro,Terminalia catappa,,,0-1.500,I-O-L-S-PI-RA,,NATIVO
10,Arrayan Común o Castilla,Myrcianthes leucoxyla,,,2.000-3.300,I-O-PO-L-RA,,NATIVO
